fault_active_s1,fault_active_s2,fault_active_s3,fault_active_s4,k,t,valid_s1,valid_s2,valid_s3,valid_s4,w_s1,w_s2,w_s3,w_s4
0.0,0.0,0.0,1.0,559,55.900001525878906,1.0,1.0,1.0,1.0,2.8279502657824196e-05,0.034243714064359665,0.6926058530807495,0.2731221318244934
0.0,0.0,0.0,1.0,560,56.0,1.0,1.0,1.0,1.0,1.6490717825945467e-05,0.15016604959964752,0.6882007122039795,0.16161678731441498
0.0,0.0,0.0,1.0,561,56.099998474121094,1.0,1.0,1.0,1.0,6.55693220323883e-05,0.21704159677028656,0.6466232538223267,0.13626955449581146
0.0,0.0,0.0,1.0,562,56.20000076293945,1.0,1.0,1.0,1.0,1.6518681150046177e-05,0.30333927273750305,0.6946896314620972,0.0019545776303857565
0.0,0.0,0.0,1.0,563,56.29999923706055,1.0,1.0,1.0,1.0,2.9634971724590287e-05,0.10200263559818268,0.876234233379364,0.02173352800309658
0.0,0.0,0.0,1.0,564,56.400001525878906,1.0,1.0,1.0,1.0,5.830613190482836e-06,0.016584888100624084,0.9802793264389038,0.0031299323309212923
0.0,0.0,0.0,1.0,565,56.5,1.0,1.0,1.0,1.0,6.390378985088319e-06,0.008148184977471828,0.9908630847930908,0.000982352183200419
0.0,0.0,0.0,1.0,566,56.599998474121094,1.0,1.0,1.0,1.0,6.262306214921409e-06,0.003117016516625881,0.9893103837966919,0.00756639800965786
0.0,0.0,0.0,1.0,567,56.70000076293945,1.0,1.0,1.0,1.0,3.988728713011369e-05,0.014298265799880028,0.985160231590271,0.0005015964270569384
0.0,0.0,0.0,1.0,568,56.79999923706055,1.0,1.0,1.0,1.0,4.031308435514802e-06,0.0051370663568377495,0.992669939994812,0.002189022023230791
0.0,0.0,0.0,1.0,569,56.900001525878906,1.0,1.0,1.0,1.0,0.00010971516167046502,0.008574347011744976,0.9884018301963806,0.002914071548730135
0.0,0.0,0.0,1.0,570,57.0,1.0,1.0,1.0,1.0,0.00024868728360161185,0.008990868926048279,0.7694472670555115,0.22131314873695374
0.0,0.0,0.0,1.0,571,57.099998474121094,1.0,1.0,1.0,1.0,4.536905908025801e-05,0.032146625220775604,0.6073773503303528,0.36043068766593933
0.0,0.0,0.0,1.0,572,57.20000076293945,1.0,1.0,1.0,1.0,0.000192293940926902,0.02077530324459076,0.8189977407455444,0.16003473103046417
0.0,0.0,0.0,1.0,573,57.29999923706055,1.0,1.0,1.0,1.0,9.126468648901209e-05,0.0043212841264903545,0.4100031554698944,0.5855843424797058
0.0,0.0,0.0,1.0,574,57.400001525878906,1.0,1.0,1.0,1.0,0.00222140084952116,0.001774301053956151,0.9808995723724365,0.015104733407497406
0.0,0.0,0.0,1.0,575,57.5,1.0,1.0,1.0,1.0,0.0049874125979840755,0.002747930120676756,0.967995822429657,0.024268826469779015
0.0,0.0,0.0,1.0,576,57.599998474121094,1.0,1.0,1.0,1.0,0.0004779177834279835,0.0003861801524180919,0.9734281897544861,0.025707706809043884
0.0,0.0,0.0,1.0,577,57.70000076293945,1.0,1.0,1.0,1.0,9.067256178241223e-05,8.441301179118454e-05,0.7284759283065796,0.2713489830493927
0.0,0.0,0.0,1.0,578,57.79999923706055,1.0,1.0,1.0,1.0,3.6877514503430575e-05,0.00039836266660131514,0.4891379773616791,0.5104267597198486
0.0,0.0,0.0,1.0,579,57.900001525878906,1.0,1.0,1.0,1.0,1.718632847769186e-05,0.0022195864003151655,0.19214656949043274,0.8056166768074036
0.0,0.0,0.0,1.0,580,58.0,1.0,1.0,1.0,1.0,7.432690836139955e-07,0.0001159298699349165,0.04032762721180916,0.9595557451248169
0.0,0.0,0.0,1.0,581,58.099998474121094,1.0,1.0,1.0,1.0,6.346446639327041e-07,0.0012519632000476122,0.10633637756109238,0.8924109935760498
0.0,0.0,0.0,1.0,582,58.20000076293945,1.0,1.0,1.0,1.0,5.540767347156361e-07,0.0021782591938972473,0.09314349293708801,0.9046777486801147
0.0,0.0,0.0,1.0,583,58.29999923706055,1.0,1.0,1.0,1.0,9.615642920834944e-05,0.015243285335600376,0.9241509437561035,0.06050954759120941
0.0,0.0,0.0,1.0,584,58.400001525878906,1.0,1.0,1.0,1.0,5.543586303247139e-05,0.04118471220135689,0.909407913684845,0.049351856112480164
0.0,0.0,0.0,1.0,585,58.5,1.0,1.0,1.0,1.0,7.483719741685491e-07,0.008912005461752415,0.3274722397327423,0.6636149287223816
0.0,0.0,0.0,1.0,586,58.599998474121094,1.0,1.0,1.0,1.0,1.1616906476774602e-06,0.0015854544471949339,0.4575609564781189,0.540852427482605
0.0,0.0,0.0,1.0,587,58.70000076293945,1.0,1.0,1.0,1.0,1.4442169913309044e-06,0.00015438388800248504,0.3624612092971802,0.6373829245567322
0.0,0.0,0.0,1.0,588,58.79999923706055,1.0,1.0,1.0,1.0,5.742808752984274e-07,3.053128602914512e-05,0.29364848136901855,0.7063204050064087
0.0,0.0,0.0,1.0,589,58.900001525878906,1.0,1.0,1.0,1.0,3.5027471767534735e-07,9.223130291502457e-06,0.41572484374046326,0.5842655897140503
0.0,0.0,0.0,1.0,590,59.0,1.0,1.0,1.0,1.0,4.56665212311691e-08,2.5393819669261575e-06,0.06245941296219826,0.9375379681587219
